תאריך,שער,פתיחה,גבוה,נמוך,נפח,שינוי %
30.01.2026,23.71,25.12,25.86,23.43,,-5.61%
29.01.2026,25.12,22.13,25.34,21.91,,11.74%
28.01.2026,22.48,21.3,23.01,19.91,,3.17%
27.01.2026,21.79,21.15,21.95,20.79,,4.16%
26.01.2026,20.92,18.57,22.07,18.57,,12.65%
23.01.2026,18.57,18.96,19.2,18.25,,-2.06%
22.01.2026,18.96,20.02,20.02,18.57,,-5.29%
21.01.2026,20.02,19.03,24.29,19.03,,5.20%
20.01.2026,19.03,25.27,25.86,18.41,,0.00%
19.01.2026,19.03,21.18,29.66,18.95,,-10.15%
17.01.2026,21.18,21.35,21.18,21.18,,0.00%
16.01.2026,21.18,21.35,22.46,20.7,,-0.80%
15.01.2026,21.35,22.21,23.58,21.16,,-3.87%
14.01.2026,22.21,21.96,23.5,20.33,,1.14%
13.01.2026,21.96,20.3,23.31,20.09,,5.83%
12.01.2026,20.75,23.05,23.38,20.38,,2.77%
09.01.2026,20.19,21.15,22.32,19.92,,-4.54%
08.01.2026,21.15,19.91,22.57,19.63,,13.16%
07.01.2026,18.69,17.74,19.39,17.74,,5.36%
06.01.2026,17.74,19.22,19.22,17.48,,-7.70%
05.01.2026,19.22,18.72,20.16,18.37,,1.48%
01.01.2026,18.94,20.18,21.15,18.56,,-6.14%
