תאריך,מדד בסיס,מדד פתיחה,מדד נעילה,מדד גבוה,מדד נמוך,שווי שוק כולל (אלפי ש''ח)
27/03/2026,22.23,,27.49,27.54,22.23,
26/03/2026,21.44,,22.23,22.75,20.93,
25/03/2026,22.2,,21.44,21.77,17.41,
24/03/2026,22.13,,22.2,28.54,22.13,
23/03/2026,16.56,,22.13,27.58,16.56,
20/03/2026,18.79,,16.56,18.79,13.52,
19/03/2026,19.18,,18.79,21.55,18.21,
18/03/2026,21.59,,19.18,22.09,18.9,
17/03/2026,22.9,,21.59,25.01,20.63,
16/03/2026,22.18,,22.9,24.85,22.15,
13/03/2026,22.11,,22.18,23.07,20.72,
12/03/2026,22.09,,22.11,24.06,21.71,
11/03/2026,22.87,,22.09,25.37,21.65,
10/03/2026,25.67,,22.87,26.46,22.55,
09/03/2026,20.74,,25.67,26.87,20.74,
06/03/2026,20.75,,20.74,21.84,19.79,
05/03/2026,23.77,,20.75,24.64,20.57,
04/03/2026,23.04,,23.77,25.06,21.62,
02/03/2026,28.14,,23.04,28.14,22.21,
